编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,王菁,女,20,3.972343746603025,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,彭薇环,女,22,3.9701175267015216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,任丽桂,女,21,3.8897531579304188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,许谦,男,21,3.8337284133570844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,秦壮榕,男,21,3.8227854644081316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,冯欣叶,女,22,3.815812110458518,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
7,韩伊慧,女,22,3.7741168064940327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,陈心,男,22,3.7444289783625777,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,尉迟广策,男,20,3.6851343873495397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,昌先礼,男,21,3.6205194568691113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
11,李荣仪,女,20,3.6070932232028303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,苗璐,女,20,3.5781010574979986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13,窦伟,男,20,3.5735013714631956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,柳飞良,男,22,3.561979396331635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,韦凝倩,女,22,3.5580499052356394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,昌生腾,男,20,3.520972558402372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,魏国全,男,22,3.459806702300064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,王娜馨,女,21,3.4260602483725697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,唐善,男,20,3.4123298404474816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,韩克,男,21,3.392138823611775,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
21,方风中,男,22,3.3737517118898817,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,曹嘉伊,女,20,3.3641416112000586,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
23,吕坚先,男,20,3.321073410306803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,曹博,男,20,3.315412810750192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
